都道府県,人口,面積,人口密度
北海道,5228885,78421,67
青森県,1238730,9646,128
岩手県,1211206,15275,79
宮城県,2303487,7282,316
秋田県,960113,11638,83
山形県,1068696,9323,115
福島県,1834198,13784,133
茨城県,2868554,6097,470
栃木県,1934016,6408,302
群馬県,1940333,6362,305
埼玉県,7346836,3798,1935
千葉県,6287034,5158,1219
東京都,14064696,2194,6410
神奈川県,9240411,2416,3825
新潟県,2202358,12584,175
富山県,1035612,4248,244
石川県,1133294,4186,271
福井県,767433,4191,183
山梨県,810427,4465,182
長野県,2049683,13562,151
岐阜県,1979781,10621,186
静岡県,3635220,7777,467
愛知県,7546192,5173,1459
三重県,1771440,5774,307
滋賀県,1414248,4017,352
京都府,2579921,4612,559
大阪府,8842523,1905,4641
兵庫県,5469184,8401,651
奈良県,1325437,3691,359
和歌山県,923033,4725,195
鳥取県,553847,3507,158
島根県,671602,6708,100
岡山県,1889607,7114,266
広島県,2801388,8480,330
山口県,1342987,6113,220
徳島県,719704,4147,174
香川県,951049,1877,507
愛媛県,1335694,5676,235
高知県,692065,7104,97
福岡県,5138891,4987,1031
佐賀県,812013,2441,333
長崎県,1313103,4131,318
熊本県,1739211,7409,235
大分県,1124597,6341,177
宮崎県,1070213,7735,138
鹿児島県,1589206,9187,173
沖縄県,1468410,2283,643
